"ASV","kingdom","phylum","class","order","family","genus","species","id","value","presence"
"c02215c3ba75beeaf277d143a8fc9003","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Emericellopsis","unidentified","Xixon17",34,1
"38f8c7c56224ed805f41f64808edd174","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"Xixon17",18,1
"7c67f44243d6a78ff3c3b4a7108c40de","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma dimennae","Xixon17",16,1
"f6f159108629341d0211027cd5a6c5f0","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","unidentified","unidentified","Xixon17",15,1
"579487420d29b5a04e467ada881cbf11","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Arthropsis","Arthropsis hispanica","Xixon17",14,1
"6134f026ea10cfeb927a7d9199af48ec","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Xixon17",19,1
"d19e6c34c32e203c7879410f89b99f89","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae",NA,NA,"Xixon17",864,1
"d58e9dec98e80708f02620a41ff578ee","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Lophotrichus","Lophotrichus fimeti","Xixon17",26,1
"4c293c10affbc4ba99b7d61f2e53c607","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"Xixon17",16,1
"7aac6351f1e802a632d8d1390ae298c1","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","unidentified","unidentified","unidentified","Xixon17",23,1
"0a245c5c7f2dbd6daf8bb5b63159bd32","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sesquicillium","Sesquicillium microsporum","Xixon17",42,1
"c0bc2d399388900a2ea74cd432cfc6a5","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",NA,"Xixon17",18,1
"11bd1e011d741f572fde52761b3318bd","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Xixon17",43,1
"801d6439348dd1a2ccedd04e542932bd","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unidentified","unidentified","unidentified","Xixon17",20,1
"49666b838337ef4553cc513fa364e83f","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA,"Xixon17",23,1
"e8f6a447b2d4adce7603c59d71f38404","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",NA,"Xixon17",78,1
