"taxon","id","cover"
"Coprinopsis xenobia","Xixon06",36
"Coprinopsis xenobia","Xixon08",14
"Coprinopsis xenobia","Xixon14",25
"Coprinopsis xenobia","Xixon18",24
"Coprinopsis xenobia","Xixon25",15
"Coprinus cordisporus","Xixon02",16
"Coprinus cordisporus","Xixon05",14
"Coprinus cordisporus","Xixon27",11
"Coprinus phaeopunctatus","Xixon04",12
"Coprinus phaeopunctatus","Xixon07",18
"Coprinus phaeopunctatus","Xixon10",53
"Cordyceps bassiana","Xixon01",525
"Cordyceps bassiana","Xixon05",27
"Cordyceps bassiana","Xixon06",77
"Cordyceps bassiana","Xixon08",13
"Cordyceps bassiana","Xixon10",43
"Cordyceps bassiana","Xixon11",354
"Cordyceps bassiana","Xixon12",39
"Cordyceps bassiana","Xixon17",44943
"Cordyceps bassiana","Xixon18",16
"Cordyceps bassiana","Xixon19",39
"Cordyceps bassiana","Xixon20",88
"Cordyceps bassiana","Xixon22",1098
"Cordyceps bassiana","Xixon23",14
"Cordyceps bassiana","Xixon26",33
"Cordyceps bassiana","Xixon27",43
"Cordyceps polyarthra","Xixon02",39
"Cordyceps polyarthra","Xixon05",178
"Cordyceps polyarthra","Xixon08",36
"Cordyceps polyarthra","Xixon18",64
"Cordyceps polyarthra","Xixon28",43
"Cordyceps polyarthra","Xixon29",18
